trial,cagr,sharpe,max_drawdown,win_rate,total_trades,final_value,exposure_pct,profit_target_A,profit_target_C,profit_target_C_ratio,stop_trigger_close,entry_day_offset,weakness_mode,entry_timing,exit_timing
0,0.452244,0.7141,0.599794,0.5048,838,39704710.00,0.8718,0.137837,0.050308,0.364980,-0.017549,0,False,vwap_30m,close
1,0.015800,-0.0545,0.697491,0.5573,838,128586.36,0.5835,0.196734,0.153007,0.777739,-0.031798,2,False,open,close
2,0.012471,-0.0327,0.935066,0.5811,838,121990.43,0.5387,0.058516,0.021408,0.365857,-0.007259,2,True,10:00,15:30
3,0.561022,0.9742,0.512126,0.5191,838,126461955.72,0.7975,0.087972,0.014699,0.167093,-0.008351,0,False,10:00,15:30
4,-0.131498,-0.2091,0.997870,0.5310,838,10422.81,0.7410,0.121512,0.054073,0.445003,-0.021553,1,False,10:00,close
5,0.292539,0.3444,0.745391,0.5883,838,6128687.30,0.5994,0.041562,0.015311,0.368404,-0.012450,1,False,open,15:55
6,-0.104663,-0.1504,0.993345,0.5382,838,16980.34,0.5835,0.164732,0.049900,0.302916,-0.005610,2,False,vwap_30m,15:55
7,-0.222018,-0.3431,0.995946,0.5609,838,1783.74,0.5821,0.140769,0.025374,0.180254,-0.039130,2,False,vwap_30m,close
8,0.309960,0.6306,0.474062,0.5811,838,7596670.21,0.6914,0.047059,0.020458,0.434723,-0.017125,0,False,vwap_60m,15:55
9,0.523227,0.9916,0.390502,0.5394,838,85357088.50,0.7310,0.074150,0.043421,0.585586,-0.004895,0,True,vwap_30m,15:30
10,0.383465,0.5640,0.783501,0.5286,838,18234605.24,0.9291,0.198393,0.144677,0.729245,-0.038191,0,True,vwap_30m,15:55
11,0.101901,0.1643,0.699948,0.6301,838,474126.47,0.5855,0.039199,0.025262,0.644453,-0.027836,1,True,open,close
12,-0.168651,-0.2380,0.999404,0.5465,838,5169.59,0.7670,0.196029,0.130940,0.667965,-0.041090,1,False,vwap_60m,close
13,0.295282,0.3106,0.857634,0.5465,838,6340680.30,0.7665,0.155890,0.021391,0.137217,-0.044415,1,False,open,15:55
14,0.386050,0.6400,0.602532,0.5382,838,18788788.01,0.8480,0.128879,0.040044,0.310706,-0.025257,0,True,10:00,15:55
15,-0.054212,-0.0888,0.995661,0.5131,838,40904.75,0.7367,0.175765,0.099739,0.567460,-0.012281,1,False,vwap_30m,15:55
16,-0.088547,-0.1250,0.993888,0.5346,838,22604.88,0.7132,0.088747,0.064643,0.728397,-0.015854,1,True,vwap_30m,15:55
17,0.521684,0.6394,0.761353,0.5656,838,83980630.05,0.9008,0.093757,0.009852,0.105078,-0.049776,0,False,9:35,15:30
18,0.542476,0.6663,0.681056,0.5692,838,104402480.84,0.8949,0.090191,0.009433,0.104586,-0.049244,0,False,9:35,15:30
19,0.604094,1.0096,0.512173,0.5346,838,195679092.02,0.8176,0.087666,0.010251,0.116928,-0.013540,0,False,9:35,15:30
20,0.543262,0.7196,0.438117,0.6408,838,105258529.54,0.7908,0.085749,0.010486,0.122283,-0.049655,0,True,9:35,15:30
21,0.538199,0.7123,0.453161,0.6420,838,99855159.60,0.7920,0.082839,0.012592,0.152001,-0.049926,0,True,9:35,15:30
22,0.558142,0.7477,0.427964,0.6539,838,122770230.84,0.7759,0.080711,0.008667,0.107384,-0.049796,0,True,9:35,15:30
23,0.569751,1.0074,0.446664,0.5370,838,138292841.97,0.7804,0.084321,0.047546,0.563871,-0.011048,0,True,9:35,15:30
24,0.579155,1.0449,0.350960,0.5251,838,152195877.32,0.7573,0.086389,0.048105,0.556837,-0.004060,0,True,9:35,15:30
25,0.538036,0.6771,0.553214,0.5847,838,99685281.55,0.8651,0.084777,0.051047,0.602132,-0.049439,0,True,9:35,15:30
26,0.521349,0.6511,0.653772,0.5788,838,83685173.92,0.8778,0.094947,0.051210,0.539350,-0.049668,0,True,9:35,15:30
27,0.537458,1.0240,0.394899,0.5549,838,99085571.01,0.7243,0.089159,0.019843,0.222552,-0.003776,0,True,9:35,15:30
28,0.582206,1.0551,0.353032,0.5239,838,156980883.79,0.7543,0.086430,0.047438,0.548865,-0.003430,0,True,9:35,15:30
29,0.575641,0.7425,0.488423,0.6241,838,146854151.37,0.8237,0.092107,0.019575,0.212524,-0.049918,0,True,9:35,15:30
30,0.530814,1.0097,0.394240,0.5549,838,92437075.74,0.7266,0.087636,0.019383,0.221173,-0.005373,0,True,9:35,15:30
31,0.560937,0.7278,0.429737,0.6253,838,126350663.50,0.8208,0.089857,0.019366,0.215520,-0.049989,0,True,9:35,15:30
32,0.536785,0.6946,0.503993,0.6205,838,98392720.27,0.8275,0.094529,0.019546,0.206777,-0.049986,0,True,9:35,15:30
33,0.008422,-0.0757,0.732360,0.5346,838,114396.96,0.5783,0.109408,0.023107,0.211203,-0.003789,2,False,9:35,15:30
34,0.072648,0.1150,0.505843,0.7053,838,307950.79,0.4197,0.022096,0.004792,0.216878,-0.032764,2,False,9:35,15:30
35,0.139214,0.1383,0.719183,0.5418,838,808829.12,0.5783,0.107990,0.023826,0.220629,-0.009740,2,False,9:35,15:30
36,0.071707,0.1047,0.476774,0.6683,838,303646.24,0.4383,0.024632,0.005311,0.215606,-0.003136,2,False,9:35,15:30
37,0.065552,0.0852,0.469207,0.6718,838,276852.43,0.4358,0.023999,0.005535,0.230648,-0.003704,2,False,9:35,15:30
38,0.415585,0.6526,0.703614,0.5334,838,26348765.88,0.8894,0.108788,0.023893,0.219629,-0.031138,0,False,9:35,15:30
39,0.347761,0.3841,0.806724,0.5191,838,11988799.64,0.7117,0.108982,0.056944,0.522514,-0.010376,1,True,9:35,15:30
40,-0.178201,-0.2991,0.990000,0.6647,838,4295.19,0.4403,0.024972,0.011781,0.471758,-0.010049,2,False,vwap_60m,15:30
41,-0.124733,-0.1743,0.992516,0.5406,838,11804.08,0.5783,0.109826,0.055253,0.503092,-0.010773,2,False,vwap_60m,15:30
42,-0.126478,-0.1756,0.992809,0.5382,838,11432.20,0.5783,0.110295,0.056317,0.510599,-0.010088,2,False,vwap_60m,15:30
43,-0.181134,-0.3039,0.990152,0.6742,838,4055.83,0.4331,0.023586,0.011927,0.505684,-0.010272,2,False,vwap_60m,15:30
44,-0.125240,-0.1744,0.992778,0.5406,838,11694.88,0.5783,0.107407,0.054628,0.508606,-0.010405,2,False,vwap_60m,15:30
45,-0.122345,-0.1714,0.992571,0.5406,838,12331.33,0.5783,0.110094,0.054933,0.498967,-0.010316,2,False,vwap_60m,15:30
46,-0.179932,-0.3007,0.990225,0.6683,838,4152.39,0.4378,0.024447,0.011620,0.475297,-0.010367,2,False,vwap_60m,15:30
47,-0.124856,-0.1747,0.992512,0.5382,838,11777.44,0.5783,0.109500,0.054943,0.501758,-0.009944,2,False,vwap_60m,15:30
48,-0.126866,-0.1759,0.992849,0.5394,838,11351.02,0.5783,0.109302,0.054551,0.499083,-0.012652,2,False,vwap_60m,15:30
49,-0.147261,-0.2196,0.998708,0.5370,838,7769.80,0.6805,0.067366,0.034774,0.516203,-0.010207,1,False,vwap_60m,close
50,0.154382,0.2709,0.751452,0.5609,838,999955.42,0.6371,0.060771,0.028891,0.475408,-0.008628,1,True,open,close
51,-0.106302,-0.1819,0.994525,0.5776,838,16488.53,0.6683,0.066640,0.031895,0.478621,-0.020368,1,True,10:00,close
52,-0.070128,-0.1352,0.994703,0.5585,838,31157.25,0.6440,0.063156,0.031412,0.497368,-0.008553,1,True,10:00,close
53,-0.091232,-0.1629,0.994331,0.5597,838,21560.29,0.6465,0.066575,0.027777,0.417233,-0.007399,1,True,10:00,close
54,-0.103741,-0.1800,0.994136,0.5776,838,17262.95,0.6391,0.061997,0.024978,0.402896,-0.013649,1,True,10:00,close
55,-0.084037,-0.1538,0.994767,0.5609,838,24467.38,0.6386,0.063986,0.025991,0.406198,-0.007072,1,True,10:00,close
56,-0.112456,-0.1903,0.994530,0.5788,838,14758.96,0.6663,0.067630,0.028812,0.426026,-0.020398,1,True,10:00,close
57,-0.115829,-0.1950,0.994368,0.5800,838,13884.40,0.6648,0.067005,0.028418,0.424113,-0.021039,1,True,10:00,close
58,-0.080551,-0.1486,0.994419,0.5573,838,26004.03,0.6517,0.071087,0.027911,0.392632,-0.007096,1,True,10:00,close
59,-0.089439,-0.1603,0.996165,0.5442,838,22252.93,0.6517,0.062572,0.040106,0.640952,-0.006980,1,True,10:00,close
60,-0.090376,-0.1618,0.994397,0.5597,838,21888.42,0.6455,0.066309,0.027410,0.413366,-0.006806,1,True,10:00,close
61,-0.087940,-0.1586,0.994400,0.5621,838,22847.72,0.6450,0.066347,0.027218,0.410244,-0.006677,1,True,10:00,close
62,-0.086278,-0.1566,0.994513,0.5621,838,23524.72,0.6445,0.065660,0.026855,0.409002,-0.007416,1,True,10:00,close
63,-0.112182,-0.1905,0.995059,0.5847,838,14831.98,0.6522,0.063391,0.025986,0.409933,-0.020680,1,True,10:00,close
64,-0.121850,-0.2036,0.994488,0.5859,838,12443.34,0.6567,0.065466,0.024664,0.376743,-0.020962,1,True,10:00,close
65,-0.095653,-0.1688,0.993639,0.5847,838,19938.30,0.6480,0.056365,0.035036,0.621588,-0.020401,1,True,10:00,close
66,0.447482,0.8414,0.397202,0.6122,838,37667574.94,0.7402,0.074931,0.013255,0.176898,-0.023451,0,True,open,15:55
67,0.309277,0.6123,0.475307,0.5823,838,7533373.87,0.7119,0.049198,0.008185,0.166361,-0.021089,0,False,vwap_30m,15:55
68,0.474392,0.8174,0.527006,0.5513,838,50613774.76,0.8044,0.072912,0.018869,0.258799,-0.020683,0,False,open,15:55
69,0.498765,0.8472,0.514076,0.5585,838,65837499.98,0.8133,0.073835,0.020258,0.274372,-0.024148,0,False,open,15:55
70,0.407038,0.7928,0.452533,0.5764,838,23909820.84,0.7199,0.052548,0.015522,0.295384,-0.015426,0,False,open,15:55
71,0.494445,0.8364,0.510018,0.5573,838,62858728.85,0.8225,0.074931,0.012303,0.164194,-0.026543,0,False,open,15:55
72,0.352001,0.6767,0.449256,0.5907,838,12608224.13,0.7340,0.050779,0.008817,0.173631,-0.025077,0,False,open,15:55
73,0.518389,0.8720,0.502832,0.5537,838,81110855.19,0.8225,0.076870,0.021089,0.274348,-0.023715,0,False,open,15:55
74,0.528400,0.8847,0.500119,0.5549,838,90126746.68,0.8255,0.077659,0.061981,0.798122,-0.024686,0,False,open,15:55
75,0.348931,0.6674,0.437086,0.5823,838,12156727.07,0.7457,0.053736,0.008703,0.161955,-0.025338,0,False,vwap_30m,15:55
76,0.351783,0.6706,0.437086,0.5823,838,12575598.43,0.7496,0.053805,0.008861,0.164689,-0.027055,0,False,vwap_30m,15:55
77,0.353451,0.6812,0.450603,0.5835,838,12826797.99,0.7362,0.051966,0.008910,0.171452,-0.023907,0,False,vwap_30m,15:55
78,0.500328,0.8487,0.544639,0.5513,838,66947405.83,0.8242,0.077780,0.013169,0.169305,-0.024068,0,False,vwap_30m,15:55
79,0.335033,0.6491,0.443213,0.5871,838,10296294.59,0.7335,0.051190,0.008467,0.165409,-0.024673,0,False,vwap_30m,15:55
80,0.477765,0.8133,0.547778,0.5501,838,52503135.15,0.8267,0.076926,0.011939,0.155201,-0.025754,0,False,vwap_30m,15:55
81,0.487065,0.7864,0.600281,0.5286,838,58060714.75,0.8634,0.101087,0.070340,0.695843,-0.023388,0,False,9:35,15:55
82,0.458189,0.7168,0.600017,0.5072,838,42393397.86,0.8756,0.145359,0.018777,0.129176,-0.018164,0,False,9:35,15:30
83,0.479281,0.7851,0.608640,0.5167,838,53374155.93,0.8508,0.100880,0.014430,0.143045,-0.018095,0,False,9:35,15:30
84,0.475798,0.7799,0.610442,0.5167,838,51393464.61,0.8503,0.100135,0.013542,0.135239,-0.018138,0,False,9:35,15:30
85,0.464553,0.7141,0.527640,0.5239,838,45460410.15,0.8971,0.142181,0.019312,0.135827,-0.027957,0,False,9:35,15:30
86,0.547657,0.8835,0.486625,0.4916,838,110170067.55,0.8265,0.142922,0.019317,0.135157,-0.005109,0,False,9:35,15:30
87,0.425340,0.6702,0.706409,0.5477,838,29416700.04,0.8912,0.099927,0.013540,0.135495,-0.035550,0,False,9:35,15:30
88,0.458938,0.7337,0.644904,0.5358,838,42744100.61,0.8773,0.100893,0.012768,0.126547,-0.030038,0,False,9:35,15:30
89,0.399679,0.6325,0.702094,0.5442,838,21981264.72,0.8914,0.101915,0.012948,0.127044,-0.034991,0,False,9:35,15:30
90,0.568455,0.9619,0.493296,0.5012,838,136473179.03,0.8027,0.101422,0.012889,0.127087,-0.005059,0,False,9:35,15:30
91,0.569571,0.9651,0.496073,0.5012,838,138037645.11,0.8002,0.100066,0.069438,0.693927,-0.004901,0,False,9:35,15:30
92,0.574421,0.9715,0.494225,0.5012,838,145041009.74,0.8017,0.100985,0.013544,0.134115,-0.005100,0,False,9:35,15:30
93,0.570860,0.9649,0.490431,0.5012,838,139868389.86,0.8027,0.102760,0.013497,0.131342,-0.004933,0,False,9:35,15:30
94,0.573777,0.9706,0.494894,0.5012,838,144091853.70,0.8017,0.100790,0.013878,0.137694,-0.005124,0,False,9:35,15:30
95,0.478056,0.9016,0.419513,0.5585,838,52669394.64,0.7273,0.099575,0.012416,0.124689,-0.005170,0,True,9:35,15:30
96,0.477827,0.7755,0.646512,0.5442,838,52538860.55,0.8632,0.098992,0.068733,0.694327,-0.029688,0,True,9:35,15:30
97,0.373724,0.5546,0.781366,0.5298,838,16280787.31,0.9207,0.193512,0.108731,0.561882,-0.034381,0,True,9:35,15:30
98,0.488223,0.5783,0.834217,0.5453,838,58790171.01,0.9338,0.181145,0.102882,0.567953,-0.045041,0,True,9:35,15:30
99,0.543897,0.6588,0.769481,0.5609,838,105954962.95,0.9068,0.120586,0.070914,0.588079,-0.044260,0,True,9:35,15:30
100,0.494630,0.5827,0.824009,0.5442,838,62983774.87,0.9375,0.193786,0.113551,0.585961,-0.045261,0,True,9:35,15:30
101,0.524256,0.6211,0.762656,0.5489,838,86286624.69,0.9313,0.168685,0.094090,0.557783,-0.045861,0,True,9:35,15:30
102,0.491776,0.5801,0.831135,0.5465,838,61082076.94,0.9370,0.188452,0.105737,0.561082,-0.045960,0,True,9:35,15:30
103,0.496141,0.5846,0.830313,0.5465,838,64012840.22,0.9378,0.188875,0.106884,0.565899,-0.046128,0,True,9:35,15:30
104,0.572094,0.6920,0.708376,0.5632,838,141639984.54,0.9021,0.118770,0.067838,0.571176,-0.043181,0,True,9:35,15:30
105,0.493127,0.5828,0.832995,0.5465,838,61975811.28,0.9355,0.183076,0.104074,0.568475,-0.045820,0,True,9:35,15:30
106,0.491687,0.5833,0.835855,0.5453,838,61023689.02,0.9306,0.174032,0.098573,0.566407,-0.044213,0,True,9:35,15:30
107,0.471270,0.7310,0.747258,0.5095,838,48922010.10,0.8694,0.179071,0.103939,0.580436,-0.015177,0,True,9:35,15:30
108,0.586697,0.7146,0.699741,0.5597,838,164282341.07,0.8984,0.118083,0.066920,0.566717,-0.041947,0,True,9:35,15:30
109,0.485048,0.5756,0.834266,0.5430,838,56811048.29,0.9308,0.180166,0.103749,0.575852,-0.043069,0,True,9:35,15:30
110,0.571392,0.6911,0.708495,0.5644,838,140629230.47,0.9028,0.118689,0.068020,0.573093,-0.043707,0,True,9:35,15:30
111,0.484573,0.5743,0.838009,0.5465,838,56519967.20,0.9341,0.178247,0.097445,0.546685,-0.045757,0,True,9:35,15:30
112,0.510933,0.6494,0.571804,0.5955,838,74954125.31,0.8537,0.120208,0.023476,0.195293,-0.044395,0,True,9:35,15:30
113,0.495877,0.8982,0.457446,0.5286,838,63831656.62,0.7563,0.117991,0.023288,0.197374,-0.003502,0,True,9:35,15:30
114,0.536805,1.0267,0.376688,0.5597,838,98413415.15,0.7186,0.089930,0.017225,0.191543,-0.003294,0,True,9:35,15:30
115,0.539055,1.0359,0.358583,0.5597,838,100749865.30,0.7142,0.087254,0.016905,0.193748,-0.003385,0,True,9:35,15:30
116,0.542202,1.0439,0.337332,0.5597,838,104105130.49,0.7134,0.087085,0.016729,0.192103,-0.003276,0,True,9:35,15:30
117,0.572760,1.0505,0.370540,0.5286,838,142605274.22,0.7494,0.088388,0.039690,0.449044,-0.003379,0,True,9:35,15:30
118,0.497236,0.9189,0.397465,0.5811,838,64768612.16,0.7476,0.085344,0.016950,0.198610,-0.015056,0,True,9:35,15:30
119,0.622775,1.0848,0.391515,0.5167,838,235608903.53,0.7764,0.086605,0.016638,0.192112,-0.003286,0,False,9:35,15:30
120,0.631636,1.0947,0.380098,0.5131,838,257112916.96,0.7804,0.090062,0.009245,0.102654,-0.003032,0,False,9:35,15:30
121,0.611540,1.0669,0.392753,0.5167,838,210766977.51,0.7771,0.086218,0.009623,0.111613,-0.003727,0,False,9:35,15:30
122,0.612447,1.0648,0.388500,0.5143,838,212677572.84,0.7789,0.087668,0.029320,0.334442,-0.003486,0,False,9:35,15:30
123,-0.211934,-0.3302,0.995574,0.5382,838,2193.01,0.5741,0.087378,0.009336,0.106843,-0.003698,2,False,vwap_60m,15:30
124,-0.209282,-0.3277,0.995475,0.5394,838,2314.39,0.5741,0.087208,0.009833,0.112751,-0.003115,2,False,vwap_60m,15:30
125,0.427419,0.6935,0.655858,0.5573,838,30112630.63,0.8751,0.087244,0.009058,0.103826,-0.038326,0,False,vwap_60m,15:30
126,-0.211310,-0.3309,0.995568,0.5382,838,2221.02,0.5739,0.086236,0.016900,0.195969,-0.003448,2,False,vwap_60m,15:30
127,0.032275,-0.0187,0.670486,0.5406,838,166439.64,0.5729,0.085116,0.008925,0.104858,-0.003720,2,False,9:35,15:30
128,-0.210512,-0.3284,0.995630,0.5406,838,2257.30,0.5739,0.086943,0.029482,0.339093,-0.003064,2,False,vwap_60m,15:30
129,-0.110453,-0.1578,0.992242,0.5609,838,15302.27,0.5741,0.087014,0.009003,0.103470,-0.038750,2,False,vwap_60m,15:30
130,-0.108796,-0.1562,0.992933,0.5453,838,15765.95,0.5741,0.087143,0.009387,0.107714,-0.011560,2,False,vwap_60m,15:30
131,-0.207257,-0.3253,0.995799,0.5465,838,2411.33,0.5711,0.083099,0.020001,0.240693,-0.003195,2,False,vwap_60m,close
132,-0.218145,-0.3376,0.995162,0.5680,838,1931.62,0.5704,0.081841,0.020402,0.249290,-0.039446,2,False,vwap_60m,close
133,-0.209448,-0.3270,0.995827,0.5453,838,2306.63,0.5706,0.082729,0.020139,0.243438,-0.003933,2,False,vwap_60m,close
134,-0.207259,-0.3236,0.995797,0.5465,838,2411.21,0.5719,0.083702,0.029120,0.347894,-0.006042,2,False,vwap_60m,close
135,-0.195855,-0.3180,0.993688,0.6086,838,3031.93,0.4936,0.035356,0.003672,0.103854,-0.006207,2,False,vwap_60m,close
136,-0.206496,-0.3220,0.995669,0.5465,838,2448.69,0.5726,0.084638,0.008550,0.101014,-0.006021,2,False,vwap_60m,close
137,-0.213841,-0.3307,0.996511,0.5382,838,2109.41,0.5825,0.152129,0.016436,0.108043,-0.004174,2,False,vwap_60m,close
138,-0.209960,-0.3289,0.995805,0.5465,838,2282.79,0.5706,0.082193,0.008259,0.100483,-0.006088,2,False,vwap_60m,close
139,-0.216453,-0.3363,0.994986,0.5394,838,1999.76,0.5764,0.094136,0.033597,0.356896,-0.006175,2,False,vwap_30m,close
140,-0.179599,-0.2922,0.992711,0.5931,838,4179.52,0.5059,0.040141,0.030086,0.749505,-0.006215,2,False,vwap_30m,close
141,-0.165426,-0.2740,0.991229,0.6265,838,5500.82,0.4777,0.031856,0.003257,0.102239,-0.006155,2,False,vwap_30m,close
142,-0.176738,-0.2904,0.991008,0.6337,838,4419.47,0.4690,0.030172,0.003402,0.112740,-0.006135,2,False,vwap_30m,close
143,-0.219040,-0.3393,0.995139,0.5394,838,1896.47,0.5761,0.092956,0.010414,0.112034,-0.006229,2,False,vwap_30m,close
144,-0.201725,-0.2999,0.998488,0.6444,838,2695.79,0.5828,0.034622,0.026193,0.756547,-0.040537,1,False,vwap_30m,close
145,-0.206155,-0.2911,0.999254,0.5501,838,2465.62,0.7397,0.094194,0.071418,0.758193,-0.036831,1,False,vwap_30m,close
146,-0.184348,-0.2757,0.999012,0.5883,838,3807.92,0.5838,0.039935,0.006011,0.150520,-0.006292,1,False,vwap_30m,close
147,-0.176462,-0.2665,0.998991,0.6110,838,4443.29,0.5573,0.035116,0.025518,0.726661,-0.006386,1,False,vwap_30m,close
148,0.304820,0.3370,0.787585,0.5179,838,7132438.82,0.7075,0.091333,0.041540,0.454816,-0.008106,1,False,open,15:55
149,-0.082910,-0.1179,0.993603,0.5609,838,24954.40,0.7486,0.092573,0.041786,0.451388,-0.048229,1,False,vwap_30m,15:55
150,-0.060691,-0.0964,0.994572,0.5155,838,36635.08,0.7095,0.093523,0.072380,0.773929,-0.008366,1,False,vwap_30m,15:55
151,-0.056425,-0.0916,0.995943,0.5084,838,39396.63,0.7201,0.131742,0.097784,0.742241,-0.004481,1,False,vwap_30m,15:55
152,-0.081927,-0.1169,0.993548,0.5609,838,25387.10,0.7486,0.092873,0.070012,0.753845,-0.048337,1,False,vwap_30m,15:55
153,-0.088155,-0.1233,0.993923,0.5597,838,22761.47,0.7481,0.093264,0.014085,0.151019,-0.047617,1,False,vwap_30m,15:55
154,-0.070985,-0.1069,0.994992,0.5143,838,30700.23,0.7038,0.094061,0.014132,0.150242,-0.004443,1,False,vwap_30m,15:55
155,0.277552,0.2972,0.796156,0.5585,838,5083147.33,0.7484,0.093225,0.013883,0.148915,-0.047965,1,False,open,15:55
156,0.294191,0.3237,0.810724,0.5143,838,6255588.24,0.7060,0.096914,0.042901,0.442671,-0.004487,1,False,open,15:55
157,0.321418,0.3401,0.862311,0.5513,838,8735412.70,0.7652,0.133575,0.061498,0.460399,-0.047479,1,False,open,15:55
158,0.533927,0.6501,0.758265,0.5656,838,95498580.05,0.8986,0.093259,0.013872,0.148748,-0.048115,0,False,open,15:55
159,0.438114,0.6822,0.558344,0.5155,838,33942395.37,0.8815,0.131823,0.059416,0.450726,-0.022381,0,False,open,15:55
160,0.517233,0.6119,0.721918,0.5537,838,80126856.48,0.9303,0.132523,0.043493,0.328191,-0.047549,0,False,open,15:55
161,0.571020,0.9165,0.480221,0.5012,838,140095829.99,0.8334,0.127408,0.040666,0.319182,-0.007939,0,False,open,15:55
162,0.516264,0.5965,0.718956,0.5525,838,79310033.52,0.9383,0.157293,0.069565,0.442261,-0.048095,0,False,open,15:55
163,0.520857,0.8105,0.550662,0.4916,838,83251802.20,0.8304,0.161651,0.023635,0.146212,-0.004662,0,False,open,15:30
164,0.550952,0.8874,0.478207,0.4964,838,113992953.40,0.8228,0.137263,0.020616,0.150197,-0.004633,0,False,open,15:30
165,0.520560,0.8101,0.550987,0.4916,838,82991057.96,0.8304,0.161507,0.023524,0.145654,-0.004633,0,False,open,15:30
166,0.420235,0.6171,0.660047,0.5358,838,27771815.80,0.9130,0.154537,0.049871,0.322712,-0.032412,0,False,open,15:30
167,0.419322,0.6182,0.661112,0.5370,838,27486814.47,0.9135,0.153860,0.100375,0.652379,-0.033050,0,False,open,15:30
168,0.566178,0.9323,0.519313,0.5012,838,133329653.39,0.8128,0.113811,0.069370,0.609519,-0.004564,0,False,open,15:30
169,0.471732,0.7582,0.629033,0.5143,838,49169356.44,0.8592,0.113701,0.073273,0.644438,-0.016761,0,False,9:35,15:30
170,0.516029,0.8079,0.491254,0.4881,838,79113101.78,0.8282,0.155811,0.096932,0.622113,-0.004504,0,False,9:35,15:30
171,0.509116,0.7822,0.669987,0.4833,838,73521387.35,0.8359,0.199954,0.131627,0.658287,-0.004710,0,False,9:35,15:30
172,0.302625,0.5859,0.495202,0.6146,838,6942422.38,0.7164,0.045350,0.029681,0.654492,-0.033213,0,False,9:35,15:30
173,0.461700,0.7455,0.642805,0.5227,838,44060776.73,0.8669,0.106579,0.034577,0.324424,-0.022159,0,False,9:35,15:30
174,0.390109,0.5760,0.693675,0.5274,838,19690807.77,0.9118,0.159018,0.104599,0.657777,-0.031653,0,False,9:35,15:30
175,0.501589,0.7859,0.559264,0.4857,838,67855503.20,0.8309,0.160098,0.102133,0.637941,-0.004998,0,False,9:35,15:30
176,0.313132,0.6126,0.502183,0.6181,838,7897098.67,0.7095,0.044663,0.005549,0.124242,-0.032515,0,False,9:35,15:30
177,0.392447,0.5767,0.692027,0.5298,838,20228745.92,0.9162,0.162997,0.019715,0.120954,-0.033187,0,False,9:35,15:30
178,0.339815,0.6922,0.474062,0.5907,838,10903999.67,0.6822,0.045422,0.029854,0.657258,-0.017019,0,False,9:35,15:30
179,0.429294,0.6783,0.669414,0.5430,838,30753363.73,0.8899,0.105388,0.070350,0.667526,-0.033051,0,False,9:35,15:30
180,0.331740,0.6649,0.503976,0.6074,838,9896519.79,0.6978,0.044708,0.005498,0.122981,-0.028535,0,False,9:35,15:30
181,0.303087,0.5854,0.493119,0.6146,838,6982044.75,0.7181,0.045676,0.005523,0.120924,-0.033657,0,False,9:35,15:30
182,0.492823,0.8397,0.504750,0.5394,838,61773621.16,0.8188,0.080135,0.009670,0.120670,-0.019386,0,False,9:35,15:30
183,0.486803,0.7955,0.596515,0.5191,838,57897204.68,0.8503,0.105049,0.012818,0.122014,-0.016589,0,False,9:35,15:30
184,0.642560,1.1440,0.381535,0.5239,838,286153507.69,0.7605,0.079820,0.009802,0.122803,-0.003012,0,False,9:35,15:30
185,0.643092,1.1441,0.383147,0.5286,838,287644880.28,0.7590,0.078865,0.009354,0.118608,-0.003225,0,False,9:35,15:30
186,0.524318,1.0165,0.337332,0.5692,838,86343113.95,0.7082,0.089742,0.011020,0.122801,-0.003256,0,True,9:35,15:30
187,0.459863,0.7999,0.475271,0.5274,838,43180732.29,0.7643,0.171099,0.021332,0.124677,-0.003178,0,True,9:35,15:30
188,0.546936,1.1009,0.337333,0.5847,838,109350070.14,0.6872,0.078639,0.009440,0.120047,-0.003065,0,True,9:35,15:30
189,0.481233,0.9085,0.466985,0.5835,838,54514468.85,0.7382,0.089853,0.010882,0.121103,-0.013706,0,True,10:00,15:30
190,0.526374,1.0212,0.371054,0.5430,838,88229496.11,0.7256,0.079722,0.030450,0.381952,-0.003431,0,True,10:00,15:30
191,0.471515,0.9011,0.421681,0.5501,838,49052863.70,0.7271,0.104560,0.013188,0.126129,-0.003103,0,True,10:00,15:30
192,0.514060,1.0503,0.337333,0.5740,838,77480500.21,0.6879,0.078467,0.009484,0.120863,-0.003124,0,True,10:00,15:30
193,0.470767,0.6285,0.526112,0.6098,838,48654717.14,0.8000,0.097167,0.011902,0.122491,-0.041468,0,True,10:00,15:30
194,0.559230,1.0002,0.448968,0.5203,838,124153300.50,0.7660,0.104456,0.040310,0.385906,-0.003052,0,True,9:35,15:30
195,0.507955,0.8741,0.502171,0.5107,838,72618859.64,0.7878,0.148897,0.043254,0.290497,-0.003058,0,True,10:00,15:30
196,0.517223,0.9188,0.528911,0.5179,838,80117949.90,0.7737,0.124979,0.036944,0.295598,-0.003043,0,True,10:00,15:30
197,0.143574,0.3524,0.408597,0.7387,838,859931.48,0.4839,0.020456,0.014655,0.716442,-0.042744,0,True,10:00,15:30
198,0.505339,0.8685,0.499028,0.5107,838,70624868.77,0.7878,0.149860,0.043852,0.292618,-0.003077,0,True,10:00,15:30
199,-0.098878,-0.1733,0.995098,0.5573,838,18828.01,0.6460,0.071104,0.027878,0.392074,-0.003170,1,True,10:00,15:30
